HOME,AWAY
Nurnberg II / Pipinsried,
Schalding / Munich 1860,
Walldorf / Stutt. Kickers,
Verl / Alemannia Aachen,
Westfalia Rhynern / Erndtebruck,
Koln II / Wiedenbruck,
Ufa / Akhmat Grozny,
Prespa Birlik / Kvarnby,
Bangkok Glass / Port MTI FC,
Ch. Odessa U21 / Oleksandriya U21,
Sarawak FA / Penang,
Obod / Navbahor Namangan,
Den Haag (Ned)  / Excelsior (Ned),
BK Frem / Hillerod,
AB Copenhagen / Hvidovre,
Sydvest / VSK Aarhus,
Reims / Orleans,
Pahang / Kedah,
Perak / PKNS FC,
Selangor / Johor DT,
Kelantan / Felda Utd.,
Finnsnes / Kjelsas,
Start / Mjondalen,
Olimpiyets / Shinnik Yaroslavl,
Tyumen / Kuban,
Nordvarmland / Grebbestads,
Gauthiod / Lerums IS,
Anundsjo / Moron,
Vimmerby / Nybro,
Ratchaburi / Nakhon Ratchasima,
Din. Samarkand / Met. Bekobod,
Braunschweig / Heidenheim,
TSV Havelse / Braunschweig II,
Lechia Gdansk / Gornik Z.,
LASK Linz / St. Polten,
Dnepr Mogilev / Vitebsk,
Hobro / Randers FC,
Bristol City / Barnsley,
Fulham / Norwich,
Ipswich / Birmingham,
Preston / Sheffield Wed,
QPR / Reading,
Wolves / Middlesbrough,
Burton / Cardiff,
Bradford / Blackpool,
Bury / Walsall,
Charlton / Bristol Rovers,
Fleetwood Town / Rotherham,
Milton Keynes Dons / Wigan,
Oldham / Oxford Utd,
Peterborough / Plymouth,
Scunthorpe / AFC Wimbledon,
Shrewsbury / Northampton,
Accrington / Colchester,
Chesterfield / Grimsby Town,
Coventry / Notts County,
Crewe / Mansfield,
Exeter / Cambridge Utd,
Morecambe / Cheltenham,
Stevenage / Newport,
Bromley / Eastleigh,
Halifax / Aldershot,
Torquay / Tranmere,
Woking / Gateshead,
Wrexham / Macclesfield,
Brackley / United of Manchester,
Harrogate / Nuneaton,
Kidderminster / Chorley,
Salford / Darlington,
Southport / Boston,
Tamworth / Bradford PA,
York / Telford,
Dartford / Hungerford,
East Thurrock / Hampton,
Eastbourne Borough / Braintree,
Hemel / Whitehawk,
Oxford City / St. Albans,
Truro / Welling,
Wealdstone / Concord,
Weston / Poole Town,
Sudet / Klubi 04,
Ilves / JJK Jyvaskyla,
KuPS / Rovaniemi,
AC Oulu / Jaro,
KPV Kokkola / Haka,
Ventspils / Jelgava,
Dergview / Annagh,
Portstewart / Limavady,
Nybergsund / Follo,
Asker / Raufoss,
K. Oslo / Grorud,
Egersunds / Notodden,
Gryf Wejherowo / GKS Jastrzebie,
Kursk / Baltika,
Spartak Moscow 2 / Yenisey,
Arsenal Tula U21 / Tosno U21,
Dumbarton / Morton,
Inverness / Dundee Utd,
Livingston / Dunfermline,
St. Mirren / Falkirk,
Albion Rovers / Ayr,
Alloa / Raith,
Forfar Athletic / Airdrieonians,
Stranraer / East Fife,
Annan / Peterhead,
Berwick / Clyde,
Edinburgh City / Montrose,
Elgin City / Cowdenbeath,
Dundee FC / Ross County,
Hibernian / Partick,
Kilmarnock / St Johnstone,
Halmstad / Jonkopings,
Varbergs / Osters,
GAIS / Falkenbergs,
FC Poltava / Kramatorsk,
Helios / Arsenal Kiev,
Karpaty / Stal Kamianske,
Vorskla Poltava U21 / Dynamo Kiev U21,
Zorya U21 / Olimpik Donetsk U21,
Neftchi Fargona / Shortan Guzor,
Olmaliq / Buxoro,
Crystal Palace (Eng)  / Schalke (Ger),
Burnley (Eng)  / Hannover (Ger),
Southampton (Eng)  / Sevilla (Esp),
Petrolera / Jaguares de Cordoba,
ASA / Fortaleza,
Salgueiro / Botafogo PB,
Coquimbo / Cobresal,
Barnechea / La Serena,
Once Caldas / Bucaramanga,
Philadelphia Union / FC Dallas,
DC United / Toronto FC,
Montreal Impact / Orlando City,
Puerto Rico / Jacksonville A.,
Miami FC / North Carolina,
Indy Eleven / Edmonton,
Orlando Pride W / Chicago W,
Kingborough Lions / Clarence Utd.,
Devonport / South Hobart,
Launceston / Hobart Zebras,
Valentine / Edgeworth E.,
Lambton J. / Maitland,
Beijing Technology / Jiangsu Yancheng,
Karvina U19 / Plzen U19,
Brno U19 / Zlin U19,
Slovacko U19 / Pribram U19,
E.G. El Palmar (Esp)  / Muleno (Esp),
La Nucia (Esp)  / Elche (Esp),
Connahs Q. (Wal)  / Flint (Wal),
Amberg / Grossbardorf,
Berkane (Mar)  / Moghreb Tetouan (Mar),
Sassuolo (Ita)  / Castelvetro (Ita),
Wismar / CFC Hertha,
1.FC Frankfurt / Schwerin,
Barleben / Merseburg,
Rembang / Pontianak,
Hoffenheim (Ger)  / Bologna (Ita),
Eintracht Frankfurt (Ger)  / Betis (Esp),
Heilongjiang Lava / Shenyan Dongjin,
Lindsdals / IFK Malmo,
Assyriska IF / Sylvia,
Yadah / Tsholotsho,
How Mine / Ngezi Platinum FC,
Platinum / Chicken Inn,
Breda (Ned)  / Almere City (Ned),
De Treffers (Ned)  / Oss (Ned),
1. FSV Mainz 05 (Ger)  / Twente (Ned),
Juventus Managua / San Francisco,
Lillestrom U19 / Sarpsborg U19,
Chrobry Glogow U19 / Slask W. U19,
Wisla U19 / R. Rzeszow U19,
Mioveni / Afumati,
Luceafarul Oradea / Sportul Snagov,
Genclerbirligi (Tur)  / Osmanlispor (Tur),
Chorrillo / Independiente,
Cincinnati / Orlando City 2,
Bermeo (Esp)  / Basconia (Esp),
Cardiff Metropolitan (Wal)  / Carmarthen Town (Wal),
Lienden (Ned)  / Den Bosch (Ned),
VVSB (Ned)  / Waalwijk (Ned),
Ballyclare (Nir)  / Glenavon (Nir),
Portadown (Nir)  / Ballymena (Nir),
Newtown (Wal)  / Newcastle Town (Eng),
Alebrijes Oaxaca / UAEM Potros,
Minnesota / Seattle Sounders,
San Francisco Deltas / New York Cosmos,
Club Leon / Cruz Azul,
Everton / San Luis,
Sonsonate / Alianza FC,
Chalatenango / Aguila,
Chicago Fire / New England Revolution,
San Antonio / Orange County SC,
Real Espana / Platense,
Juarez / Correcaminos,
Esteli / Real Madriz,
Santa Gema / Plaza Amador,
Alianza Lima / U. San Martin,
Liberia / Herediano,
Real Salt Lake / Houston Dynamo,
Colorado Rapids / Vancouver Whitecaps,
Guadalajara Chivas / Necaxa,
San Jose Earthquakes / Columbus Crew,
Charlestown City Blues / Weston Bears,
Lake Macquarie / Hamilton Olympic,
Olympia Warriors / Northern Rangers,
Manly Utd / Sydney Utd,
Blacktown City / APIA Tigers,
Rockdale City Suns / Wollongong Wolves,
Brisbane U21 / Northern Fury,
Sydney Olympic / Hakoah Sydney,
Perth Glory U21 / Bayswater,
Balikpapan / Perseru Serui,
Sakhalin / Chita,
Smena Komsomolsk / Zenit Irkutsk,
Zizkov / Varnsdorf,
Opava B / Dolni Benesov,
Dukla Prague U21 / Teplice U21,
Plzen U21 / Ceske Budejovice U21,
Karvina U21 / Sigma Olomouc U21,
Hradec Kralove U21 / Sparta Prague U21,
Lyngby / Nordsjaelland,
Odra Opole U19 / Piast Gliwice U19,
Busan / Anyang,
Seoul E. / Seongnam,
Pohang / Jeonnam,
Jeonbuk / Ulsan Hyundai,
Sangju Sangmu / Gangwon,
Covilha / Sporting B,
BEC Tero Sasana / Thai Navy,
Regensburg / Nurnberg,
Furstenwalde / Lokomotive Leipzig,
Barito Putera / Persija Jakarta,
Guangzhou R&amp;F / Liaoning,
Mariehamn / SJK,
VPS / PS Kemi,
VfL Osnabruck / Hallescher,
Magdeburg / Wurzburger Kickers,
Lichtenberg / Brieselang,
St. Pauli II / Norderstedt,
Saarbrucken / Kassel,
TuS Koblenz / Freiburg II,
Wattenscheid / Dusseldorf II,
RW Essen / Wuppertaler,
Arsenal Tula / Tosno,
Sisaket / Muang Thong Utd,
APEJES Academy / Dragon de Yaounde,
Roskilde / Thisted FC,
Viborg / Esbjerg,
Fredericia / Vendsyssel FF,
F. Amager / Koge,
Motherwell / Rangers,
VfB Stuttgart (Ger)  / Betis (Esp),
Oldenburg / BSV Rehden,
Ull/Kisa / Sandnes,
Hammarby / Hacken,
Sundsvall / Ostersunds,
Kalmar / Goteborg,
Atvidabergs / Dalkurd,
Aue / Dusseldorf,
Banants Yerevan / Pyunik Yerevan,
Flamengo RJ / Vitoria,
Jablonec / Plzen,
Jihlava / Slovacko,
Odense / Aalborg,
JBK / VIFK,
GBK Kokkola / Kajaanin Haka,
Chikhura / Shukura,
Petange / Benfica,
Fola / Victoria Rosport,
Racing Luxembourg / Niedercorn,
Aberdeen / Hamilton,
Hudiksvalls / Soderhamns,
Torns / IFK Hassleholm,
Xamax / Vaduz,
Luzern / Grasshoppers,
St. Gallen / Sion,
Young Boys / Lausanne,
Ch. Odessa / Oleksandriya,
Qizilqum Zarafshon / Pakhtakor,
Sogdiana / Bunyodkor,
Newcastle Utd (Eng)  / Verona (Ita),
Rapid Vienna / Austria Vienna,
Union Douala / Canon Yaounde,
Eding Sport / Aigle Royal,
